Code,TotalPrice,Area,District,Floors,Address
11814848,10000,96,quan3,3,hem
11695248,3350,34.8,quan3,2,hem
11695494,5100,52.5,quan3,4,hem
11695415,3300,28.8,quan3,3,hem
11695749,3300,31,quan3,1,hem
11695679,3000,36,quan3,2,hem
11695581,4200,40.8,quan3,2,hem
11936239,36000,209,quan3,2,hemxehoi
11844296,12500,100,quan3,5,hemxehoi
11837700,7600,62,quan3,2,hem
11736766,15000,120,quan3,5,hem
11810479,3500,22.3,quan3,4,mattien
10717925,2300,38.5,quan3,3,hem
11933595,3300,30,quan3,3,hem
10288982,12000,125,quan3,7,mattien
11488374,12000,112,quan3,5,hemxehoi
11931917,11000,74,quan3,2,hemxehoi
11751653,14200,126,quan3,7,hem
11850381,12500,100,quan3,3,hem
11850468,3800,43.2,quan3,4,hem
11932052,3550,88.4,quan3,3,hem
10830067,12500,80,quan3,3,hemxehoi
11851581,6500,98,quan3,3,hemxehoi
11344529,4250,86,quan3,2,hem
11644747,21000,189,quan3,3,hem
10509949,12000,115,quan3,1,hem
11827779,7500,54,quan3,2,hem
11929237,15000,112,quan3,5,hem
11928854,11500,62,quan3,3,hem
